time,temperature,humidity,light
2026-06-12 16:37:00,23.59,67.1,344.17
2026-06-12 16:37:05,23.56,67.21,336.67
2026-06-12 16:37:10,23.54,67.17,139.17
2026-06-12 16:37:15,23.53,67.05,110.83
2026-06-12 16:37:20,23.54,67.29,19.17
2026-06-12 16:37:25,23.52,67.36,67.5
2026-06-12 16:37:30,23.6,67.42,340.83
2026-06-12 16:37:35,23.58,67.43,420.83
2026-06-12 16:37:40,23.6,67.53,421.67
2026-06-12 16:37:45,23.57,67.46,355.83
2026-06-12 16:37:50,23.59,67.45,230.0
2026-06-12 16:37:55,23.54,67.51,80.83
2026-06-12 16:38:00,23.54,67.43,360.0
2026-06-12 16:38:05,23.51,67.35,369.17
2026-06-12 16:38:10,23.5,67.27,350.0
2026-06-12 16:38:15,23.5,67.26,372.5
2026-06-12 16:38:20,23.47,67.34,407.5
2026-06-12 16:38:26,23.46,67.31,426.67
2026-06-12 16:38:31,23.46,67.31,425.0
2026-06-12 16:38:36,23.41,67.26,392.5
2026-06-12 16:38:41,23.4,67.27,422.5
2026-06-12 16:38:46,23.39,67.23,420.83
2026-06-12 16:38:51,23.41,67.2,425.83
2026-06-12 16:38:56,23.4,67.21,98.33
2026-06-12 16:39:01,23.4,67.41,253.33
2026-06-12 16:39:06,23.42,67.4,346.67
2026-06-12 16:39:11,23.42,67.44,353.33
2026-06-12 16:39:16,23.4,67.42,344.17
2026-06-12 16:39:21,23.4,67.28,295.0
2026-06-12 16:39:26,23.39,67.19,294.17
2026-06-12 16:39:31,23.39,67.17,286.67
2026-06-12 16:39:36,23.35,67.14,105.0
2026-06-12 16:39:41,23.39,67.16,149.17
2026-06-12 16:39:46,23.38,67.05,0.0
2026-06-12 16:39:51,23.37,67.02,248.33
2026-06-12 16:39:56,23.38,66.99,405.83
2026-06-12 16:40:01,23.39,67.0,390.0
2026-06-12 16:40:06,23.42,66.98,321.67
2026-06-12 16:40:11,23.42,66.98,405.83
2026-06-12 16:40:16,23.38,66.92,365.0
2026-06-12 16:40:21,23.41,67.01,352.5
2026-06-12 16:41:25,23.34,66.9,406.67
